Code,Name,Description,Cost,Nit
"61979-001,""Sauce - Black Current, Dry Mix"",Ecolab - Balanced Fusion,35886,94-879-5643"
"0363-2092,Grouper - Fresh,""Lentils - Green, Dry"",21715,49-838-7254"
52544-497,Cheese - Blue,Chinese Lemon Pork,19598,37-246-3412
49035-401,Pastry - Cheese Baked Scones,Wine - Taylors Reserve,41407,06-650-7538
16252-506,Instant Coffee,Pears - Anjou,23177,35-473-3681
0591-2508,Salt - Kosher,Shrimp - Tiger 21/25,26854,41-713-2929
0115-1332,Napkin Colour,Blueberries,39310,28-056-6356
"59762-2001,Vodka - Smirnoff,""Pasta - Lasagna Noodle, Frozen"",18782,90-871-1042"
37000-094,Wine - Chablis J Moreau Et Fils,Cheese - St. Paulin,21713,34-546-1823
"0409-3378,""Oil - Truffle, Black"",Sea Urchin,39218,06-926-9905"
13537-514,Juice - Orange 1.89l,Food Colouring - Blue,10711,39-127-3375
13733-018,Bacardi Breezer - Tropical,Table Cloth 144x90 White,22821,97-883-6627
0944-8503,The Pop Shoppe - Grape,Beer - Fruli,35811,99-576-8590
68180-760,Lettuce - Baby Salad Greens,Anisette - Mcguiness,8890,85-431-9403
"54868-4087,Wine - Toasted Head,""Veal - Inside Round / Top, Lean"",43271,04-477-2650"
"10056-704,""Tart Shells - Savory, 2"",Wine - Two Oceans Sauvignon,19974,62-104-2917"
0641-6063,Vinegar - Tarragon,Flower - Daisies,40485,49-469-3291
10202-050,Browning Caramel Glace,Oil - Safflower,33113,84-938-0158
46672-228,Cup - 4oz Translucent,Hot Chocolate - Individual,45731,04-188-0146
64092-113,Sugar - Cubes,The Pop Shoppe - Lime Rickey,43377,50-170-4742
50181-0018,Bagel - Whole White Sesame,Ice Cream Bar - Rolo Cone,17343,12-071-0970
36987-2618,Steampan - Half Size Shallow,Beef - Sushi Flat Iron Steak,49669,27-354-7623
55154-4938,Wine - Pinot Noir Pond Haddock,Pernod,38420,21-206-4777
"63214-102,""Soup - Campbells, Beef Barley"",Spice - Greek 1 Step,30323,94-925-2087"
35000-086,Vanilla Beans,Bread Fig And Almond,29277,15-144-8738
"33261-970,""Chestnuts - Whole,canned"",Salmon Steak - Cohoe 6 Oz,26304,97-711-2026"
64543-105,Sausage - Liver,Pasta - Fusili Tri - Coloured,17976,98-821-4849
"63629-3343,""Brocolinni - Gaylan, Chinese"",Cookies - Englishbay Oatmeal,47829,13-360-1466"
"0052-0316,Plasticforkblack,""Cookies - Oreo, 4 Pack"",48645,50-548-8795"
"12634-809,""Vermacelli - Sprinkles, Assorted"",""Beef - Tongue, Fresh"",32262,57-649-2498"
31722-251,Wanton Wrap,Pepper - Orange,45139,28-081-4319
62670-4799,Cake - Pancake,Seedlings - Clamshell,26726,36-087-3992
49035-516,Lid Coffeecup 12oz D9542b,Numi - Assorted Teas,25635,37-519-0795
13811-664,Beer - Creemore,Bread - 10 Grain,3542,04-452-1916
64942-0034,Chips - Potato Jalapeno,Cleaner - Lime Away,30607,93-807-0655
45861-107,Oyster - In Shell,Vodka - Smirnoff,19334,20-342-4115
55670-468,Muffin Mix - Carrot,Wine - Spumante Bambino White,30808,48-372-6472
11399-005,Trueblue - Blueberry 12x473ml,Plasticknivesblack,40115,68-260-9001
36987-2785,Oil - Hazelnut,Compound - Strawberry,23524,12-741-6203
13734-132,Muskox - French Rack,Compound - Passion Fruit,32911,81-433-3835
60681-5601,Seaweed Green Sheets,Chives - Fresh,13833,30-391-6313
52125-549,Tobasco Sauce,Veal - Provimi Inside,7675,92-457-2475
"68462-221,Orange - Blood,""Marjoram - Dried, Rubbed"",14526,82-041-9711"
49349-442,Maintenance Removal Charge,Soup - Chicken And Wild Rice,11927,34-733-5135
42507-556,Appetizer - Asian Shrimp Roll,Jameson Irish Whiskey,29531,59-556-9491
"49349-804,""Stock - Veal, Brown"",""Pasta - Penne, Lisce, Dry"",22797,64-457-8880"
63936-8523,Bar Special K,Pate - Liver,26403,76-508-0851
10157-9877,Cookie - Oreo 100x2,Country Roll,44866,95-180-6600
43749-110,Cheese - Blue,Wine - Casillero Del Diablo,8630,15-629-8931
0065-0454,Cranberries - Frozen,Cookies - Englishbay Oatmeal,18151,75-379-7263
52959-800,Momiji Oroshi Chili Sauce,Breakfast Quesadillas,7885,79-083-0027
52257-1204,Crab Meat Claw Pasteurise,Gherkin - Sour,46922,01-083-0009
10742-8652,Cheese - Brie,Pasta - Ravioli,31455,24-684-7482
50436-6915,Buttons,Flour - Strong Pizza,37348,95-913-1599
21695-979,Coriander - Ground,Cheese - Mix,49222,19-969-3711
16590-346,Paper - Brown Paper Mini Cups,Sausage - Chorizo,38088,75-019-0909
"24477-312,Soup V8 Roasted Red Pepper,""Vinegar - Balsamic, White"",14130,23-309-6355"
"54868-1804,Pastry - Choclate Baked,""Cheese - Manchego, Spanish"",44705,99-674-5316"
63621-353,Wine - Spumante Bambino White,General Purpose Trigger,45835,89-792-8058
51393-6668,Pepper - Red Thai,Shiratamako - Rice Flour,23097,03-456-8733
55154-3488,Veal - Nuckle,Bok Choy - Baby,39785,72-982-3435
"68258-7153,Island Oasis - Lemonade,""Lobster - Tail, 3 - 4 Oz"",21016,41-077-5285"
10544-020,Tomatoes - Cherry,Dr. Pepper - 355ml,26706,09-413-9840
65342-2040,Tea - Herbal Orange Spice,Dip - Tapenade,20548,99-672-7683
64380-750,Tuna - Salad Premix,Apricots - Halves,47220,30-262-3733
"42926-120,Pate Pans Yellow,""Nut - Cashews, Whole, Raw"",26847,23-807-8382"
"0093-0819,Fennel,""Pasta - Penne, Lisce, Dry"",25316,01-370-8338"
"66993-465,""Wine - White, Chardonnay"",""Peas - Pigeon, Dry"",32108,70-256-4265"
43269-740,Kale - Red,Table Cloth 62x114 White,36692,81-638-2869
48951-4100,Sobe - Tropical Energy,Muffin Mix - Corn Harvest,32507,64-860-6778
49817-0072,Icecream - Dibs,Pasta - Fusili Tri - Coloured,15403,59-545-4302
67457-218,Rice - Basmati,Dr. Pepper - 355ml,21228,20-708-8122
"63629-3226,""Seedlings - Mix, Organic"",""Beer - Alexander Kieths, Pale Ale"",12769,74-312-8813"
76058-104,Bread - Wheat Baguette,Pastry - Apple Muffins - Mini,10142,73-649-0089
51393-6778,Sprouts - Brussel,Huck Towels White,15730,71-368-7804
"11673-180,Rice - Wild,""Soup - Campbells, Creamy"",4378,17-470-1426"
68788-9879,Gatorade - Cool Blue Raspberry,Celery,26700,48-089-7043
"53808-0656,Fondant - Icing,""Pork - Tenderloin, Fresh"",34428,72-714-2374"
0069-9141,Cafe Royale,Red Currant Jelly,39071,89-487-0265
"41163-157,""Wine - Red, Antinori Santa"",Radish - Pickled,41077,91-042-7835"
60681-2902,Chocolate - Semi Sweet,Wine - Alsace Riesling Reserve,37084,55-437-3921
59800-0974,Bagel - Sesame Seed Presliced,Coffee - Almond Amaretto,23748,79-596-3626
51523-034,Grapes - Green,Peas Snow,5037,22-292-1724
55154-4853,Calypso - Lemonade,Bread - 10 Grain Parisian,24793,03-347-5549
"68382-341,""Juice - Apple, 1.36l"",Soup - Base Broth Chix,45480,74-010-9727"
"61570-024,Sauce - Oyster,""Soup - Cream Of Broccoli, Dry"",24429,60-878-1510"
"43406-0010,""Apple - Delicious, Red"",Parsley - Fresh,30622,80-467-2829"
"16590-408,""Veal - Inside, Choice"",""Croissant, Raw - Mini"",42640,46-219-2814"
"21695-075,""Vodka - Hot, Lnferno"",Carbonated Water - White Grape,11592,15-935-1256"
68196-144,Juice - Mango,Dikon,47524,26-235-7286
"67046-520,""Star Anise, Whole"",""Mushroom - Trumpet, Dry"",12220,96-351-0387"
"63481-183,Bread - Malt,""Shrimp - Baby, Cold Water"",4875,92-966-3640"
"58118-1962,Veal - Provimi Inside,""Nut - Almond, Blanched, Sliced"",17776,34-463-8699"
52125-365,Lettuce Romaine Chopped,Wine - Fat Bastard Merlot,7160,66-053-0465
"67938-1408,""Pork - Loin, Center Cut"",Tamarind Paste,28624,59-649-9446"
"63323-180,Wine - Pinot Grigio Collavini,""Pasta - Elbows, Macaroni, Dry"",3083,96-470-0422"
"42254-095,Food Colouring - Orange,""Pepper - Red, Finger Hot"",23508,83-508-3167"
53808-0604,Ecolab - Hand Soap Form Antibac,Appetizer - Sausage Rolls,39966,54-482-6335
42549-643,Bok Choy - Baby,Lid Coffee Cup 8oz Blk,20511,36-828-8811
"47335-083,""Asparagus - White, Canned"",""Chilli Paste, Ginger Garlic"",30089,48-356-7738"
"52125-599,Gingerale - Diet - Schweppes,""Beets - Candy Cane, Organic"",49617,83-351-8473"
55319-470,Mushroom - White Button,Rice - Basmati,4601,26-240-2329
10014-006,Wine - Casillero Deldiablo,White Fish - Filets,25976,39-722-8926
"63044-633,""Water, Tap"",Table Cloth 54x72 White,5582,26-691-3393"
"0597-0190,""Pork - Back, Short Cut, Boneless"",""Wine - White, Chardonnay"",43973,50-860-2846"
63874-326,Mushroom - Lg - Cello,Wine - Cava Aria Estate Brut,17135,07-504-0954
"11822-3865,""Liqueur Banana, Ramazzotti"",Appetiser - Bought,38827,40-026-7125"
63824-041,Beets - Pickled,Sherbet - Raspberry,38680,81-255-9177
51389-200,Fennel,Aspic - Light,31663,08-558-4839
"54868-5741,""Pasta - Fusili, Dry"",Oven Mitts 17 Inch,19795,03-451-1122"
49884-123,Veal - Nuckle,Pepper - Cayenne,33960,25-546-3134
49609-102,Table Cloth 62x114 Colour,Ginsing - Fresh,38404,68-865-7204
30142-912,Beer - Maudite,Turkey - Oven Roast Breast,47897,74-591-0698
"55301-180,""Bread - Bagels, Plain"",Muffin - Blueberry Individual,26046,24-255-4560"
"67046-532,Versatainer Nc - 9388,""Soup - Campbells, Lentil"",16980,49-572-8294"
"54868-5835,""Beer - Alexander Kieths, Pale Ale"",Chef Hat 25cm,47156,08-167-1382"
"52125-579,""Beef - Ox Tail, Frozen"",Straws - Cocktale,4086,79-162-9722"
58160-812,Apricots - Halves,Pork - Smoked Back Bacon,41040,45-349-1565
"0268-0944,""Beef - Chuck, Boneless"",Cinnamon Buns Sticky,17195,13-550-1658"
"36987-2131,Shark - Loin,""Doilies - 12, Paper"",22286,16-648-8552"
59623-008,Thermometer Digital,Berry Brulee,37721,41-154-6523
"69243-0710,""Pail - 4l White, With Handle"",Container Clear 8 Oz,29195,99-828-5761"
36987-2515,Muffin - Mix - Bran And Maple 15l,Wine - German Riesling,28574,35-047-8760
32909-121,Shopper Bag - S - 4,Pate - Cognac,25411,38-437-4421
"68151-4718,""Yogurt - Peach, 175 Gr"",Chinese Foods - Thick Noodles,25941,09-949-4552"
49288-0128,Wine - Rhine Riesling Wolf Blass,Wine - Rosso Del Veronese Igt,13588,63-963-6526
59092-001,Compound - Raspberry,Gherkin,5108,88-330-2057
41250-706,Cheese - Mix,Soup - Campbells,35905,79-427-1067
60432-133,Cabbage - Red,Coffee Swiss Choc Almond,34839,06-514-4142
0173-0344,Apricots Fresh,Pickerel - Fillets,35401,14-087-6481
"43857-0326,Wine - White Cab Sauv.on,""Bag - Bread, White, Plain"",35226,19-402-7956"
"63629-5147,Wanton Wrap,""Pepper - Chipotle, Canned"",3626,77-120-0768"
33261-534,Mince Meat - Filling,Soup - Boston Clam Chowder,28714,09-188-0601
65293-414,Butter - Salted,Sprouts - Pea,45718,53-222-5151
0904-5860,Energy Drink - Franks Original,Teriyaki Sauce,36214,78-288-0851
"55154-1489,""Soup - Campbells, Minestrone"",Broom And Brush Rack Black,18046,01-411-2713"
37205-851,Thermometer Digital,Cheese - Provolone,26062,31-528-7838
55910-548,Cabbage - Green,Sherbet - Raspberry,41603,17-371-9110
"51138-588,""Sauce - Bernaise, Mix"",Wine - Periguita Fonseca,30532,30-506-8638"
55154-0353,Pork - Ground,Sour Puss Sour Apple,5020,13-890-8615
"60681-1701,Scallops - 10/20,""Pepper - Chipotle, Canned"",24924,57-073-8471"
51561-001,The Pop Shoppe - Cream Soda,Salmon - Sockeye Raw,37295,81-676-3641
51447-1256,Turnip - White,Table Cloth 54x72 Colour,13185,13-445-5495
"57344-131,""Beef - Rib Roast, Capless"",Energy Drink - Franks Original,11853,93-624-0541"
51346-165,Table Cloth 81x81 White,Toothpick Frilled,29538,11-907-2885
49288-0264,Lobster - Tail 6 Oz,The Pop Shoppe - Root Beer,49112,81-095-0120
47781-341,Wine - Casillero Del Diablo,Sauce - Sesame Thai Dressing,38920,01-111-2297
"13537-322,""Pail - 15l White, With Handle"",Muffin Chocolate Individual Wrap,31728,61-012-4233"
"64725-0302,""Oregano - Dry, Rubbed"",""Chocolate - Milk, Callets"",6309,41-012-7145"
"0268-1279,Sambuca - Ramazzotti,""Octopus - Baby, Cleaned"",49405,84-765-1844"
52125-110,Beer - Paulaner Hefeweisse,Longos - Grilled Salmon With Bbq,43593,05-905-9722
66336-670,Longos - Grilled Veg Sandwiches,Olives - Kalamata,35586,76-353-8505
"31720-202,Cheese Cloth No 60,""Artichokes - Knobless, White"",49876,54-242-5293"
13537-196,Tomato Puree,Marzipan 50/50,38011,28-059-4445
"53808-0986,""Bread - Bagels, Plain"",Beer - Pilsner Urquell,20522,46-032-4865"
57520-0158,Tart - Butter Plain Squares,Sproutsmustard Cress,20981,46-797-6553
"55154-6997,""Pork - Tenderloin, Frozen"",""Fish - Soup Base, Bouillon"",32839,24-646-0210"
60760-413,Carbonated Water - Blackberry,Water - Aquafina Vitamin,28991,68-131-7818
"0065-1432,""Soup - Clam Chowder, Dry Mix"",Wine - Zinfandel Rosenblum,20206,29-524-5636"
"63868-758,Wine - Zinfandel Rosenblum,""Bread - Bagels, Mini"",37764,36-282-2752"
21695-410,Wine - Alsace Gewurztraminer,Towel - Roll White,39004,75-523-1495
"62011-0081,Jolt Cola - Red Eye,""Pork - Back, Short Cut, Boneless"",3508,29-030-5948"
76472-1167,Rhubarb,Squash - Guords,23971,81-334-6094
61919-176,Munchies Honey Sweet Trail Mix,Glycerine,49433,56-446-2178
0093-8940,Shrimp - Black Tiger 8 - 12,Yogurt - Assorted Pack,6210,93-705-2316
36800-602,Cheese - Asiago,Straw - Regular,17512,95-314-8722
54458-967,Milk - Chocolate 500ml,Capicola - Hot,31975,04-556-0388
49349-322,Juice - Apple Cider,Soup - Campbells,47060,38-368-6262
34666-101,Pate - Liver,Cabbage - Nappa,27678,05-825-5748
52125-639,Russian Prince,Yokaline,31395,41-936-6841
50964-070,Salt - Seasoned,Cinnamon - Ground,26285,52-125-3614
0187-1221,Yoplait - Strawbrasp Peac,Curry Powder,11660,72-759-4082
43419-398,Sausage - Chorizo,Grapes - Green,26960,37-970-0219
"36987-1159,Cookie Dough - Oatmeal Rasin,""Iced Tea - Lemon, 460 Ml"",13426,41-474-5053"
0440-7852,Beef - Sushi Flat Iron Steak,Bread - Italian Sesame Poly,9465,44-745-3410
46123-013,Veal - Loin,Sauce - Salsa,46870,59-227-4845
"64117-240,""Pasta - Penne Primavera, Single"",Coconut Milk - Unsweetened,40117,93-297-8835"
"24236-581,Wine - Cava Aria Estate Brut,""Pork - Chop, Frenched"",36827,56-373-2599"
54569-0124,Sardines,Tomato - Peeled Italian Canned,4067,87-232-6896
"37205-736,""Pepper - White, Whole"",Corn Syrup,28489,50-861-4888"
"33261-956,""Coconut - Shredded, Unsweet"",Red Cod Fillets - 225g,39377,87-263-0906"
16714-406,Chicken Giblets,Dome Lid Clear P92008h,36822,58-188-4786
13537-340,Chocolate - Mi - Amere Semi,Instant Coffee,48763,10-436-8329
"52054-512,Muffin Carrot - Individual,""Flour - Bran, Red"",29155,36-275-2277"
"23155-062,""Quail - Whole, Bone - In"",Mushroom - Morel Frozen,32252,51-836-3178"
0280-1180,Parsley - Fresh,Foil - 4oz Custard Cup,43103,63-406-5047
18860-121,Eel Fresh,Bacardi Mojito,33712,29-401-9946
"52584-196,""Tendrils - Baby Pea, Organic"",Wine - Vineland Estate Semi - Dry,34437,98-353-6278"
"63187-118,""Chicken - Base, Ultimate"",""Wine - White, Mosel Gold"",35559,95-070-8149"
"0179-0088,""Lobster - Baby, Boiled"",""Rum - Spiced, Captain Morgan"",23934,10-487-4889"
68001-133,Goldschalger,Lid - 16 Oz And 32 Oz,18219,07-794-5589
"0113-2141,""Bread - Multigrain, Loaf"",Cookies - Englishbay Wht,47549,34-037-2208"
0008-4117,Nantucket Pine Orangebanana,Dawn Professionl Pot And Pan,34381,10-763-5600
49738-198,Crackers Cheez It,Grenadillo,21784,79-261-0975
12634-616,Compound - Orange,Beets - Golden,26606,23-594-6278
"50114-2282,Soupfoamcont12oz 112con,""Lettuce - Romaine, Heart"",4238,93-210-4454"
